,0,1,2,3
0,Kotozakura,182,150,3
1,Azumafuji,179,178,3
2,DavisBertans,208.28,102.0408163265306,2
3,KeitaBates-Diop,203.2,103.8548752834467,2
4,PatrickBeverley,185.42,81.63265306122449,2
5,Konishiki,168,130,3
6,AdonisArms,198.12,92.9705215419501,2
7,Stefano Baldini (Italy),176.53,62.131519274376416,1
8,Tanikaze,189,162,3
9,Stephen Kiprotich (Uganda),172.72,55.78231292517007,1
10,Futabayama,179,128,3
11,KhemBirch,205.74,105.6689342403628,2
12,GogaBitadze,213.36,113.37868480725623,2
13,Hakuho,192,158,3
14,OchaiAgbaji,195.57999999999998,97.50566893424036,2
15,Miyagiyama,176,113,3
16,Tachiyama,185,139,3
17,Onomatsu,173,135,3
18,Kagamisato,174,161,3
19,Wakanohana II,186,129,3
20,Unryu,178,135,3
21,LonzoBall,198.12,86.16780045351473,2
22,Shiranui I,176,135,3
23,Josia Thugwane (South Africa),157.48000000000002,44.89795918367347,1
24,Wakashima,178,107,3
25,StevenAdams,210.82,120.18140589569161,2
26,NicolasBatum,203.2,104.30839002267574,2
27,Taiho,187,153,3
28,Wakanohana I,179,105,3
